drug_id,especie,semilla,n_semilla
632069,0,nula,0
632200,0,no informativa,2
632222,0,no informativa,359
632232,0,no informativa,6
634298,0,nula,0
635041,0,nula,0
635973,0,no informativa,8
637719,0,no informativa,11
639034,0,nula,0
639447,0,nula,0
640275,0,nula,0
640367,0,nula,0
641047,0,no informativa,6
641202,0,nula,0
643052,0,nula,0
643274,0,nula,0
644154,0,no informativa,7
645377,0,nula,0
645449,0,nula,0
645645,0,informativa,7
645857,0,nula,0
646730,0,nula,0
647769,0,no informativa,3
647916,0,nula,0
648995,0,nula,0
649280,0,nula,0
649367,0,no informativa,6
649545,0,nula,0
649624,0,no informativa,6
650605,0,nula,0
651255,0,no informativa,2
652240,0,nula,0
652868,0,no informativa,5
654231,0,nula,0
654387,0,nula,0
655481,0,nula,0
657824,0,nula,0
658229,0,no informativa,2
658637,0,nula,0
659373,0,nula,0
659439,0,no informativa,2
661651,0,no informativa,6
663342,0,nula,0
663864,0,no informativa,10
666049,0,nula,0
667513,0,no informativa,3
669261,0,nula,0
669534,0,nula,0
669812,0,nula,0
670938,0,nula,0
671487,0,no informativa,4
672473,0,nula,0
673633,0,informativa,3
674618,0,informativa,4
674916,0,nula,0
675202,0,nula,0
675512,0,nula,0
675960,0,informativa,134
676632,0,nula,0
677562,0,no informativa,2
678445,0,nula,0
678642,0,nula,0
678882,0,nula,0
678883,0,nula,0
679190,0,nula,0
680042,0,no informativa,2
682105,0,no informativa,2
682401,0,nula,0
682588,0,nula,0
682726,0,nula,0
686738,0,nula,0
687390,0,nula,0
688851,0,nula,0
689121,0,no informativa,3
690119,0,nula,0
690917,0,informativa,2
693173,0,nula,0
693528,0,nula,0
693535,0,no informativa,5
693581,0,nula,0
694409,0,nula,0
694476,0,nula,0
695305,0,no informativa,3
695534,0,no informativa,42
696736,0,nula,0
697439,0,nula,0
698828,0,nula,0
699923,0,nula,0
700035,0,no informativa,3
701517,0,no informativa,11
701783,0,no informativa,2
702614,0,no informativa,2
702759,0,nula,0
705713,0,nula,0
707666,0,nula,0
708571,0,nula,0
709360,0,no informativa,2
709621,0,nula,0
712594,0,nula,0
712882,0,nula,0
712988,0,no informativa,6
714540,0,nula,0
715214,0,nula,0
716250,0,no informativa,57
716724,0,nula,0
718268,0,nula,0
718777,0,informativa,10
719528,0,nula,0
719574,0,nula,0
720837,0,nula,0
721822,0,nula,0
721934,0,no informativa,12
722330,0,nula,0
723511,0,informativa,355
723548,0,nula,0
723690,0,no informativa,12
724350,0,no informativa,3
724408,0,nula,0
724761,0,no informativa,3
725071,0,nula,0
725885,0,nula,0
728208,0,no informativa,2
728577,0,no informativa,2
728674,0,nula,0
729104,0,nula,0
729134,0,no informativa,4
729304,0,nula,0
729518,0,no informativa,7
729559,0,nula,0
730088,0,nula,0
731479,0,no informativa,3
731951,0,nula,0
732559,0,nula,0
733001,0,nula,0
733851,0,nula,0
733887,0,nula,0
734265,0,no informativa,327
734309,0,nula,0
734502,0,nula,0
736241,0,no informativa,10
737394,0,nula,0
740639,0,nula,0
741233,0,no informativa,6
741332,0,nula,0
742007,0,nula,0
742920,0,nula,0
744638,0,nula,0
746260,0,nula,0
746667,0,no informativa,2
746699,0,nula,0
747070,0,nula,0
747413,0,no informativa,2
749962,0,no informativa,7
751357,0,no informativa,5
753777,0,nula,0
754193,0,nula,0
754632,0,no informativa,6
754922,0,nula,0
754994,0,nula,0
755714,0,no informativa,375
756405,0,nula,0
757280,0,nula,0
