posicion,n,frac_acumulada
3117,3,0.566006600660066
3120,2,0.5668316831683168
3122,1,0.5672442244224423
3126,4,0.5688943894389439
3129,1,0.5693069306930693
3131,2,0.5701320132013201
3133,2,0.570957095709571
3151,1,0.5713696369636964
3153,1,0.5717821782178217
3173,1,0.5721947194719472
3177,1,0.5726072607260726
3186,1,0.573019801980198
3202,1,0.5734323432343235
3211,1,0.5738448844884488
3214,1,0.5742574257425742
3226,1,0.5746699669966997
3228,1,0.5750825082508251
3230,1,0.5754950495049505
3255,1,0.5759075907590759
3283,1,0.5763201320132013
3284,2,0.5771452145214522
3286,1,0.5775577557755776
3287,1,0.5779702970297029
3288,3,0.5792079207920792
3290,2,0.58003300330033
3291,1,0.5804455445544554
3293,2,0.5812706270627063
3294,1,0.5816831683168316
3295,1,0.5820957095709571
3298,1,0.5825082508250825
3300,1,0.5829207920792079
3303,1,0.5833333333333334
3304,3,0.5845709570957096
3316,1,0.584983498349835
3320,1,0.5853960396039604
3322,1,0.5858085808580858
3331,2,0.5866336633663366
3339,2,0.5874587458745875
3341,1,0.5878712871287128
3370,1,0.5882838283828383
3387,1,0.5886963696369637
3396,1,0.5891089108910891
3406,1,0.5895214521452146
3414,1,0.5899339933993399
3424,1,0.5903465346534653
3445,1,0.5907590759075908
3468,1,0.5911716171617162
3469,1,0.5915841584158416
3592,1,0.591996699669967
3618,1,0.5924092409240924
3875,1,0.5928217821782178
4317,5,0.5948844884488449
4318,3,0.5961221122112211
4319,3,0.5973597359735974
4320,8,0.6006600660066007
4321,1,0.6010726072607261
4322,5,0.6031353135313532
4323,3,0.6043729372937293
4324,2,0.6051980198019802
4325,3,0.6064356435643564
4327,1,0.6068481848184818
4328,1,0.6072607260726073
4329,2,0.608085808580858
4330,1,0.6084983498349835
4332,3,0.6097359735973598
4334,1,0.6101485148514851
4335,1,0.6105610561056105
4339,1,0.610973597359736
4341,1,0.6113861386138614
4342,1,0.6117986798679867
4343,1,0.6122112211221122
4344,1,0.6126237623762376
4350,1,0.613036303630363
4351,1,0.6134488448844885
4358,1,0.6138613861386139
4372,4,0.6155115511551155
4373,2,0.6163366336633663
4374,1,0.6167491749174917
4375,3,0.6179867986798679
4376,1,0.6183993399339934
4377,1,0.6188118811881188
4379,1,0.6192244224422442
4381,2,0.620049504950495
4382,1,0.6204620462046204
4385,1,0.6208745874587459
