drug_id,especie,grupo,palanca,parametro,semilla_antes,semilla_despues,rescatada
737318,26,2,umbral,0.9,nula,nula,False
738967,4,2,umbral,0.9,nula,nula,False
742920,0,1,umbral,0.9,nula,nula,False
745451,3,0,umbral,0.9,nula,nula,False
745569,21,2,umbral,0.9,nula,nula,False
748001,10,0,umbral,0.9,nula,nula,False
749074,3,2,umbral,0.9,nula,nula,False
750458,10,3,umbral,0.9,nula,nula,False
750750,10,3,umbral,0.9,nula,nula,False
754632,0,2,umbral,0.9,no informativa,no informativa,False
757741,18,2,umbral,0.9,nula,nula,False
757783,1,1,umbral,0.9,nula,nula,False
758145,1,2,umbral,0.9,nula,nula,False
759396,10,2,umbral,0.9,nula,nula,False
759533,26,0,umbral,0.9,nula,nula,False
764205,9,0,umbral,0.9,nula,nula,False
765394,10,1,umbral,0.9,no informativa,no informativa,False
767137,1,1,umbral,0.9,nula,nula,False
768353,1,2,umbral,0.9,nula,nula,False
770863,22,2,umbral,0.9,nula,nula,False
771061,10,1,umbral,0.9,nula,nula,False
774333,0,3,umbral,0.9,nula,nula,False
774705,22,3,umbral,0.9,nula,nula,False
776759,10,2,umbral,0.9,nula,nula,False
777076,1,2,umbral,0.9,nula,nula,False
777950,18,3,umbral,0.9,nula,nula,False
779453,26,1,umbral,0.9,nula,nula,False
781502,3,0,umbral,0.9,nula,nula,False
781677,0,2,umbral,0.9,nula,nula,False
782855,15,2,umbral,0.9,nula,nula,False
786902,0,1,umbral,0.9,nula,nula,False
787738,18,2,umbral,0.9,informativa,informativa,False
789235,22,3,umbral,0.9,nula,nula,False
794904,1,2,umbral,0.9,nula,nula,False
795448,1,1,umbral,0.9,nula,nula,False
795474,15,2,umbral,0.9,nula,nula,False
795532,18,1,umbral,0.9,nula,nula,False
796175,18,2,umbral,0.9,nula,nula,False
796279,18,0,umbral,0.9,nula,nula,False
796799,9,0,umbral,0.9,nula,nula,False
799893,3,1,umbral,0.9,nula,nula,False
800445,1,2,umbral,0.9,nula,nula,False
800926,1,0,umbral,0.9,nula,nula,False
801985,26,0,umbral,0.9,nula,nula,False
803405,18,1,umbral,0.9,no informativa,no informativa,False
806043,0,2,umbral,0.9,nula,nula,False
806967,17,2,umbral,0.9,nula,nula,False
808645,26,3,umbral,0.9,nula,nula,False
809945,18,3,umbral,0.9,nula,nula,False
814684,26,2,umbral,0.9,informativa,informativa,False
824633,0,3,umbral,0.9,nula,nula,False
824724,26,3,umbral,0.9,nula,nula,False
828632,1,0,umbral,0.9,nula,nula,False
427,1,0,kegg,,nula,nula,False
955,26,1,kegg,,nula,nula,False
2675,18,0,kegg,,no informativa,no informativa,False
3775,3,3,kegg,,no informativa,no informativa,False
5442,3,0,kegg,,nula,nula,False
5534,26,2,kegg,,no informativa,no informativa,False
6000,26,3,kegg,,nula,nula,False
7845,15,1,kegg,,nula,nula,False
8348,0,0,kegg,,nula,nula,False
8922,18,2,kegg,,nula,nula,False
9857,0,0,kegg,,nula,nula,False
13037,18,3,kegg,,no informativa,no informativa,False
14487,3,2,kegg,,no informativa,no informativa,False
14691,0,0,kegg,,nula,nula,False
15846,0,2,kegg,,nula,nula,False
17835,1,0,kegg,,nula,nula,False
18017,26,1,kegg,,nula,nula,False
19424,3,0,kegg,,nula,nula,False
19660,3,0,kegg,,nula,nula,False
22688,0,2,kegg,,no informativa,no informativa,False
23037,3,3,kegg,,nula,nula,False
23211,3,0,kegg,,nula,nula,False
23331,18,2,kegg,,no informativa,no informativa,False
24814,18,0,kegg,,no informativa,no informativa,False
24916,10,3,kegg,,nula,nula,False
25537,26,3,kegg,,nula,nula,False
25861,17,2,kegg,,no informativa,no informativa,False
26818,26,2,kegg,,no informativa,no informativa,False
27980,26,2,kegg,,nula,nula,False
28557,10,0,kegg,,nula,nula,False
33600,26,2,kegg,,nula,nula,False
34327,0,0,kegg,,nula,nula,False
34914,1,3,kegg,,nula,nula,False
35398,18,2,kegg,,nula,nula,False
35659,9,2,kegg,,nula,nula,False
35979,3,1,kegg,,nula,nula,False
36035,9,2,kegg,,nula,nula,False
39070,10,3,kegg,,nula,nula,False
39644,9,2,kegg,,nula,nula,False
40219,10,3,kegg,,nula,nula,False
41005,0,3,kegg,,nula,nula,False
42256,26,1,kegg,,nula,nula,False
42845,4,0,kegg,,nula,nula,False
43857,3,0,kegg,,no informativa,no informativa,False
44551,26,1,kegg,,nula,nula,False
45255,0,2,kegg,,nula,nula,False
49939,3,1,kegg,,nula,nula,False
