target_id,ann
333946,53376
285369,15971
77663,48490
196600,48942
238217,51035
371107,32066
276941,44304
380396,67297
65582,44683
135963,18655
316147,12593
339142,59228
285211,55363
85552,22542
60949,31414
211253,45760
340900,15971
48985,11328
368855,70823
247458,68310
98557,71031
120146,43234
115832,41381
66655,55794
191144,40881
227878,4690
329072,42158
379741,43615
10053,54491
311516,44683
20887,60922
158702,40527
213995,43907
74217,61137
353928,25976
361312,34102
239638,40044
2316,45461
86148,34966
336054,44751
32782,55856
73267,2443
295454,33453
125534,67297
30468,6004
25710,29381
190719,12928
309078,12104
187348,64861
345992,23139
368054,14728
73682,47382
16830,2723
241277,24179
44555,36763
113435,60794
319186,26970
114282,38792
351947,40832
390737,6292
35914,60315
300789,19575
323912,39312
11633,1742
147790,48646
371744,2264
135899,76103
173763,38308
184073,72738
295770,55359
199275,44782
257405,72950
149102,17718
55014,51685
395472,54336
394174,41645
151320,17252
325798,44782
394312,62094
223050,15329
2338,62997
92522,67855
353212,60565
312111,26967
118049,60461
48421,70893
189897,8653
246740,39840
82074,60560
257742,61252
231575,18046
204048,50675
332137,40926
278705,55345
347358,64588
64996,25072
140346,40844
21276,30167
370269,19360
76867,13316
40743,30011
366065,53314
140595,74709
370013,68172
280731,55302
177331,50348
362752,60602
359299,33753
12745,14145
386373,42063
229708,66564
283532,40157
369462,66275
240182,72427
14595,6672
116876,69234
21498,61364
221792,14475
38370,75562
167602,26549
273790,69190
216779,42773
9040,16561
225997,61364
254496,41873
281618,17693
351576,5018
23455,13393
133273,837
45097,3351
87333,47267
268335,27049
263276,48185
25625,9233
130033,73479
118321,54634
272167,60126
281260,3380
226096,4255
226370,56396
54967,31534
313651,35709
106036,14754
61620,59876
163070,66343
310073,5194
110055,40334
178185,3030
178981,36249
60184,12969
394320,64329
36021,42467
161910,68347
40572,30431
264410,4163
136271,837
9674,66427
34873,37493
344483,67801
244972,39845
185802,54628
336488,19439
213358,65974
88708,69234
352944,68659
312370,16240
196031,34174
32996,15733
215318,7600
394210,70891
61495,70424
199015,21152
20804,15593
131759,63741
363997,30683
15581,75909
48779,15153
327154,67186
187482,16912
357226,27780
374371,2787
277965,35100
131199,75022
51778,21660
224699,20662
339647,30167
290541,9260
6725,22542
132844,41390
88508,60162
58160,21173
178220,74136
88962,21962
216184,4389
69765,55572
389529,56777
324481,75547
29230,2211
