drug,cluster_id
297947,203702
582221,203702
46891,203702
780080,203702
656247,203702
145702,203702
80398,203702
696379,203702
557895,203702
443842,203702
289479,203702
180041,203702
395919,197292
71250,197292
555474,197292
478213,197292
281357,197292
514738,197292
97017,197292
765641,197292
577874,197292
777128,197292
803704,197292
43072,197292
498147,177224
344725,177224
408198,177224
301855,177224
172874,177224
821371,177224
307641,177224
228951,177224
195480,177224
788895,177224
736104,177224
471032,177224
344085,117668
439781,117668
303097,117668
700694,117668
763316,117668
577269,117668
449537,117668
684308,117668
411131,117668
436256,117668
529516,117668
703585,117668
829659,71487
254210,71487
294127,71487
393846,71487
626900,71487
473348,71487
235307,71487
36260,71487
602603,71487
32908,71487
622406,71487
759175,163820
269462,163820
697837,163820
574674,163820
607400,163820
389026,163820
787860,163820
801844,163820
11219,163820
469831,163820
731941,163820
526988,283421
779105,283421
481068,283421
153938,283421
276096,283421
384031,283421
147078,283421
353026,283421
197841,283421
472682,283421
581734,283421
183002,395328
581774,395328
47160,395328
54287,395328
276253,395328
451231,395328
500851,395328
458117,395328
323032,395328
533534,395328
602544,395328
282305,527255
230357,93591
483283,93591
366922,93591
321952,93591
783157,93591
493814,93591
386066,93591
329943,93591
24725,93591
759949,93591
204617,93591
681430,484401
199711,484401
757979,484401
447630,484401
74404,484401
32704,484401
394246,484401
111299,484401
494730,484401
172347,484401
498632,484401
355066,746169
436016,746169
368126,746169
374174,746169
370437,746169
175165,746169
513275,746169
182174,746169
35056,746169
608720,746169
573880,746169
714288,30455
440714,30455
586286,30455
460601,30455
798366,30455
575174,30455
328987,30455
273349,30455
259069,30455
5001,30455
301655,30455
446331,768149
460771,768149
229740,768149
552393,768149
421356,768149
593382,768149
273646,768149
312568,768149
598972,768149
347569,768149
569289,768149
277229,87893
393497,87893
498791,87893
631924,87893
493985,87893
54375,87893
80326,87893
492428,87893
687423,87893
231093,87893
460131,87893
115148,541761
9199,541761
770974,541761
658157,541761
249910,541761
362877,541761
404564,541761
625969,541761
514346,541761
247223,541761
148402,541761
70763,415679
17484,415679
440131,415679
150088,415679
82450,415679
20254,415679
747121,415679
713757,415679
505711,415679
583097,415679
93956,415679
22519,160876
686488,160876
236767,160876
285749,160876
792556,160876
58799,160876
658438,160876
592531,160876
402687,160876
5131,160876
325458,160876
809352,407724
713987,407724
42569,407724
331634,407724
730818,407724
757822,407724
263596,407724
446010,407724
675760,407724
281155,407724
254670,407724
291400,77711
383151,727528
541353,727528
152368,727528
85797,727528
238300,727528
677654,727528
650935,727528
204456,727528
478831,727528
328848,727528
781915,727528
522193,112197
288433,112197
508792,112197
598316,112197
471430,112197
40117,112197
620323,112197
243086,112197
21387,112197
391439,112197
81913,112197
414739,231326
100357,231326
495577,231326
325976,231326
68339,231326
681912,231326
668802,231326
620820,231326
510787,665386
368650,665386
734219,665386
499738,665386
231465,665386
231290,665386
617834,665386
100110,665386
267461,665386
455025,665386
212493,665386
32773,435067
709581,435067
490311,435067
292634,435067
197890,435067
683810,435067
619485,435067
610579,435067
406798,435067
551262,435067
349399,435067
33805,347834
788691,347834
386740,347834
782448,347834
336538,347834
759310,347834
713709,347834
431493,347834
129968,347834
457690,347834
406149,347834
474304,126195
685395,126195
500624,126195
410652,126195
777152,126195
414240,126195
491483,126195
43504,126195
612309,126195
608812,126195
292167,126195
171389,703099
455116,703099
651648,703099
467208,703099
477110,703099
392841,703099
556887,703099
167868,703099
56634,703099
502106,703099
89286,703099
45775,233433
604739,233433
785098,233433
357868,233433
55225,233433
214777,233433
724312,233433
420272,233433
23126,233433
524487,233433
613528,233433
657562,197599
54427,197599
519961,197599
208319,197599
231603,197599
422753,197599
687247,197599
316151,197599
424113,197599
536696,197599
680307,197599
584923,312707
668705,312707
676035,312707
332028,312707
685772,312707
675517,312707
247239,312707
680929,312707
781713,312707
737135,312707
655168,312707
582248,563505
297819,563505
494474,563505
628098,563505
5660,563505
144755,563505
380045,563505
526578,563505
534102,563505
485790,563505
506923,563505
519094,567111
211413,567111
699088,567111
765265,567111
179992,567111
314756,567111
793544,567111
240876,567111
9413,567111
328088,567111
348349,567111
