target_id,sp_id,taxon_id
197643,19,17
326060,19,17
107967,19,17
281278,19,17
51230,19,17
195137,19,17
280426,19,17
342962,19,17
116306,19,17
242482,19,17
93085,19,17
338624,19,17
283987,19,17
83525,19,17
196856,19,17
126163,19,17
302862,19,17
12219,19,17
57811,19,17
108917,19,17
166607,19,17
260439,19,17
114973,19,17
315756,19,17
119165,19,17
297399,19,17
341306,19,17
96486,19,17
4732,19,17
23526,19,17
313044,19,17
79831,19,17
264271,19,17
220938,19,17
204747,19,17
116760,19,17
230661,19,17
10681,19,17
379325,19,17
232382,19,17
201261,19,17
29694,19,17
127213,19,17
172116,19,17
150018,19,17
325974,19,17
226690,19,17
178360,19,17
143703,19,17
323957,19,17
325280,19,17
56394,19,17
242436,19,17
342520,19,17
9742,19,17
304397,19,17
278269,19,17
133690,19,17
286118,19,17
33331,19,17
158811,19,17
391646,19,17
51896,19,17
380157,19,17
11555,19,17
222903,19,17
121949,19,17
344732,19,17
339789,19,17
34037,19,17
41250,19,17
127803,19,17
171946,19,17
115782,19,17
98501,19,17
183086,19,17
195631,19,17
206941,19,17
20046,19,17
59678,19,17
176133,19,17
369859,19,17
161398,19,17
109051,19,17
30957,19,17
233341,19,17
131205,19,17
286359,19,17
246977,19,17
213942,19,17
187764,19,17
312154,19,17
37516,19,17
281655,19,17
45926,19,17
250341,19,17
181375,19,17
291488,19,17
189406,19,17
12883,19,17
168274,19,17
345380,19,17
375661,19,17
206030,19,17
259029,19,17
236506,19,17
209316,19,17
1636,19,17
60827,19,17
276866,19,17
229575,19,17
301694,19,17
343649,19,17
191183,19,17
63857,19,17
13568,19,17
322330,19,17
193467,19,17
231180,19,17
190929,19,17
55368,19,17
295788,19,17
297075,19,17
300211,19,17
271393,19,17
35406,19,17
258923,19,17
360604,19,17
82974,19,17
101290,19,17
175064,19,17
205331,19,17
88501,19,17
266473,19,17
130817,19,17
92176,19,17
37710,19,17
291020,19,17
87985,19,17
145763,19,17
89854,19,17
182697,19,17
30737,19,17
252791,19,17
204129,19,17
145285,19,17
345798,19,17
165812,19,17
21179,19,17
300949,19,17
73615,19,17
379105,19,17
243925,19,17
389329,19,17
202837,19,17
19532,19,17
239301,19,17
200566,19,17
351555,19,17
297123,19,17
216767,19,17
65473,19,17
61795,19,17
171654,19,17
78838,19,17
360607,19,17
36138,19,17
153141,19,17
87128,19,17
54155,19,17
375677,19,17
61903,19,17
227351,19,17
228853,19,17
79664,19,17
314046,19,17
15376,19,17
171134,19,17
265114,19,17
352841,19,17
51299,19,17
50405,19,17
275655,19,17
133359,19,17
357080,19,17
98264,19,17
256916,19,17
259339,19,17
281057,19,17
128367,19,17
649,19,17
53640,19,17
77883,19,17
243340,19,17
351094,19,17
265514,19,17
220006,19,17
368239,19,17
269143,19,17
109450,19,17
75807,19,17
235670,19,17
294506,19,17
369460,19,17
96987,19,17
297866,19,17
298629,19,17
83021,19,17
49160,19,17
95686,19,17
196816,19,17
370566,19,17
17996,19,17
268284,19,17
337841,19,17
333998,19,17
371793,19,17
217823,19,17
85242,19,17
259281,19,17
86997,19,17
98836,19,17
121824,19,17
374073,19,17
321141,19,17
102570,19,17
49498,19,17
350062,19,17
24032,19,17
338589,19,17
365169,19,17
324153,19,17
40173,19,17
105632,19,17
107790,19,17
310641,19,17
242007,19,17
277834,19,17
179719,19,17
287126,19,17
127212,19,17
134897,19,17
15190,19,17
181977,19,17
373476,19,17
65169,19,17
219470,19,17
256804,19,17
119057,19,17
3419,19,17
249744,19,17
207544,19,17
296120,19,17
253412,19,17
25677,19,17
299336,19,17
257891,19,17
44284,19,17
288813,19,17
4788,19,17
328828,19,17
79335,19,17
141162,19,17
312344,19,17
4567,19,17
269680,19,17
356204,19,17
26334,19,17
192187,19,17
58238,19,17
334732,19,17
298084,19,17
227080,19,17
299568,19,17
298221,19,17
184335,19,17
330242,19,17
257416,19,17
73214,19,17
284967,19,17
394782,19,17
353403,19,17
50052,19,17
34448,19,17
96809,19,17
280693,19,17
124505,19,17
380042,19,17
37941,19,17
120491,19,17
46465,19,17
43045,19,17
112083,19,17
65032,19,17
112685,19,17
25522,19,17
194024,19,17
206057,19,17
339528,19,17
137503,19,17
365378,19,17
167281,19,17
360319,19,17
65971,19,17
169286,19,17
304853,19,17
265937,19,17
260076,19,17
389809,19,17
383147,19,17
300176,19,17
304649,19,17
48661,19,17
22996,19,17
336469,19,17
89372,19,17
152564,19,17
345556,19,17
131418,19,17
214693,19,17
13363,19,17
110305,19,17
256977,19,17
187986,19,17
281617,19,17
322829,19,17
85442,19,17
53316,19,17
34932,19,17
163275,19,17
189593,19,17
190308,19,17
158322,19,17
297164,19,17
115100,19,17
340764,19,17
177860,19,17
271698,19,17
31417,19,17
73731,19,17
85705,19,17
70247,19,17
169586,19,17
7070,19,17
303624,19,17
28220,19,17
151758,19,17
168451,19,17
391088,19,17
281044,19,17
20779,19,17
284041,19,17
246473,19,17
320854,19,17
354889,19,17
249789,19,17
131811,19,17
40498,19,17
209764,19,17
285615,19,17
74581,19,17
293167,19,17
377744,19,17
139070,19,17
343323,19,17
141729,19,17
308076,19,17
262087,19,17
25697,19,17
273109,19,17
329138,19,17
160012,19,17
185344,19,17
358400,19,17
219917,19,17
300096,19,17
95286,19,17
47495,19,17
277086,19,17
147040,19,17
397958,19,17
249459,19,17
353189,19,17
315524,19,17
29335,19,17
25545,19,17
215727,19,17
348087,19,17
231085,19,17
353704,19,17
317830,19,17
39820,19,17
211794,19,17
391339,19,17
189103,19,17
313683,19,17
402,19,17
201158,19,17
78817,19,17
223438,19,17
103288,19,17
66998,19,17
85898,19,17
220426,19,17
82411,19,17
145562,19,17
344021,19,17
343190,19,17
134500,19,17
272813,19,17
304146,19,17
356242,19,17
181940,19,17
374099,19,17
381107,19,17
16781,19,17
387801,19,17
4534,19,17
391734,19,17
319980,19,17
292964,19,17
231363,19,17
222031,19,17
255385,19,17
92956,19,17
101968,19,17
375305,19,17
145017,19,17
98444,19,17
57341,19,17
5428,19,17
54320,19,17
190152,19,17
211377,19,17
71487,19,17
50055,19,17
327296,19,17
399389,19,17
209385,19,17
321884,19,17
356346,19,17
163527,19,17
170591,19,17
277611,19,17
100579,19,17
317606,19,17
51735,19,17
18191,19,17
141485,19,17
253493,19,17
74486,19,17
227272,19,17
387918,19,17
153020,19,17
96302,19,17
283543,19,17
57736,19,17
306375,19,17
293173,19,17
138256,19,17
27916,19,17
323069,19,17
266287,19,17
1145,19,17
262377,19,17
388781,19,17
344064,19,17
233602,19,17
132023,19,17
389891,19,17
92144,19,17
28062,19,17
187495,19,17
10525,19,17
290550,19,17
240794,19,17
90268,19,17
119347,19,17
178042,19,17
13701,19,17
156936,19,17
157445,19,17
73144,19,17
214791,19,17
207862,19,17
194789,19,17
20619,19,17
113098,19,17
383493,19,17
159010,19,17
109595,19,17
158187,19,17
363927,19,17
99926,19,17
397875,19,17
323491,19,17
191408,19,17
258129,19,17
393389,19,17
365610,19,17
81849,19,17
151653,19,17
220408,19,17
203766,19,17
192795,19,17
156064,19,17
364523,19,17
31072,19,17
