target_id,ann,type
29348,16787,5
29348,34123,7
293982,13590,1
293982,5148,1
293982,1083,7
293982,30026,7
293982,22320,7
293982,4137,7
293982,5522,5
293982,29347,5
293982,4647,0
53902,6387,1
53902,11845,1
53902,24887,0
53902,20679,7
53902,859,1
20748,28526,5
20748,29482,5
20748,22128,1
20748,8897,7
388143,14535,5
388143,11232,5
388143,30599,5
388143,34575,5
388143,15218,5
388143,30830,5
388143,33540,7
388143,1503,7
388143,35941,5
388143,8210,1
388143,2918,7
388143,33091,1
6959,14533,5
386517,28137,1
386517,17413,1
386517,8451,7
386517,14561,7
243524,20418,1
243524,2978,0
243524,3743,5
243524,30874,7
324496,33502,1
324496,32496,1
324496,5362,0
324496,36316,7
380784,25075,1
380784,13213,7
380784,12341,0
380784,31526,1
275237,8908,1
275237,8494,7
275237,29063,0
275237,14684,7
131300,20022,1
131300,4365,5
131300,1083,7
131300,22320,7
131300,5030,0
131300,20067,7
131300,12666,1
131300,17282,5
48115,20601,1
48115,15389,0
48115,1338,1
48115,12539,7
261641,14219,1
261641,11624,1
261641,27023,7
261641,11601,5
261641,23209,5
383636,17523,1
383636,27741,0
383636,32427,1
383636,27186,7
47850,31622,1
47850,3710,7
47850,1835,7
47850,7814,0
47850,1592,1
155075,27061,5
155075,2801,1
155075,26016,1
155075,36086,0
155075,29220,7
229833,14672,1
229833,36411,1
229833,8451,7
229833,24935,7
229833,5514,1
144442,26829,1
144442,36833,7
144442,5856,5
144442,33782,0
144442,15941,7
111712,28562,1
111712,1083,7
111712,30170,0
111712,16800,7
143189,11610,5
143189,6897,1
143189,31448,1
143189,19918,7
387904,9592,1
387904,8494,7
59190,31925,1
59190,13673,0
59190,36902,7
59190,28313,1
127702,8638,0
127702,30599,5
127702,34575,5
127702,33540,7
127702,1503,7
127702,35941,5
127702,2918,7
127702,25058,1
69258,10225,5
69258,34596,1
69258,30697,7
163376,19955,5
163376,9170,1
163376,8149,7
163376,9061,7
163376,32466,7
163376,32296,5
163376,28812,5
163376,16412,5
391090,12559,5
391090,13370,5
391090,21292,5
391090,25707,0
391090,24472,7
391090,13976,7
391090,31151,1
123914,19819,1
123914,18713,7
123914,17714,0
319910,24487,5
319910,15048,5
319910,21936,5
319910,21121,1
319910,28419,5
319910,13213,7
319910,20258,7
319910,24472,7
319910,27859,0
319910,3671,5
319910,6995,5
319910,27774,1
190953,5326,1
190953,24389,5
190953,26784,0
190953,16820,7
190953,8416,1
98474,10746,1
98474,33824,7
98474,35454,0
205006,24961,0
205006,12479,1
205006,16474,5
205006,29579,1
205006,5780,7
233094,22679,1
233094,9642,1
233094,9188,0
233094,7838,7
374003,19526,1
374003,10170,5
374003,7186,0
374003,1083,7
374003,22320,7
374003,1676,5
374003,19314,5
233193,22463,1
233193,21312,1
233193,34083,7
233193,28347,5
233193,27590,0
233193,8592,5
233193,30207,7
365415,15916,5
365415,11743,1
365415,8902,7
365415,10231,7
365415,4560,7
365415,32260,4
237444,32281,0
237444,30469,1
237444,17957,1
237444,23393,7
237444,7463,1
237444,26642,1
256085,19009,5
256085,31417,5
256085,19200,5
256085,33533,1
256085,25610,5
256085,36272,7
256085,10275,5
256085,5518,5
256085,7302,7
49299,24655,1
