drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets,archivo,grupo
209743,cele,no informativa,Q17339,2,0.0,13992.5,0.5102096627164996,186503.5,13992.5,indirecta,27425.0,cele_pseudohuerfanas,2
216864,cele,no informativa,Q9XUB2,2,0.0,13788.0,0.5027529626253419,186190.0,13788.0,indirecta,27425.0,cele_pseudohuerfanas,0
220633,cele,no informativa,Q9XUB2,4,0.0,13808.0,0.503482224247949,186523.0,13808.0,indirecta,27425.0,cele_pseudohuerfanas,3
220728,cele,no informativa,G5EF15,23,0.0,13915.0,0.507383773928897,188114.0,13915.0,indirecta,27425.0,cele_pseudohuerfanas,2
222929,cele,no informativa,Q9XUB2,5,0.0,13989.5,0.5101002734731085,186300.5,13989.5,indirecta,27425.0,cele_pseudohuerfanas,1
224683,cele,no informativa,Q9XUB2,2,0.0,13755.5,0.5015679124886053,184903.5,13755.5,indirecta,27425.0,cele_pseudohuerfanas,1
227887,cele,no informativa,G5EF15,2,0.0,13787.5,0.5027347310847766,186194.0,13787.5,indirecta,27425.0,cele_pseudohuerfanas,1
236517,cele,no informativa,G5EF15,2,0.0,13801.5,0.5032452142206016,186520.5,13801.5,indirecta,27425.0,cele_pseudohuerfanas,2
236721,cele,no informativa,Q9XUB2,3,0.0,13830.0,0.5042844120328168,186829.0,13830.0,indirecta,27425.0,cele_pseudohuerfanas,0
239856,cele,no informativa,Q9XUB2,4,0.0,13859.0,0.5053418413855971,187776.0,13859.0,indirecta,27425.0,cele_pseudohuerfanas,3
240545,cele,no informativa,Q9XUB2,3,0.0,14021.5,0.5112670920692799,186944.0,14021.5,indirecta,27425.0,cele_pseudohuerfanas,3
248160,cele,no informativa,G5EF15,2,0.0,13828.5,0.5042297174111212,186798.5,13828.5,indirecta,27425.0,cele_pseudohuerfanas,0
248320,cele,no informativa,G5EF15,3,0.0,14053.5,0.5124339106654512,188106.0,14053.5,indirecta,27425.0,cele_pseudohuerfanas,1
248855,cele,no informativa,Q9XUB2,3,0.0,13802.5,0.503281677301732,186565.5,13802.5,indirecta,27425.0,cele_pseudohuerfanas,3
250436,cele,no informativa,G5EF15,3,0.0,13734.0,0.5007839562443026,184620.0,13734.0,indirecta,27425.0,cele_pseudohuerfanas,0
252389,cele,no informativa,Q9XUB2,3,0.0,13800.0,0.5031905195989061,185649.5,13800.0,indirecta,27425.0,cele_pseudohuerfanas,1
259022,cele,no informativa,Q9XUB2,4,0.0,13832.0,0.5043573381950774,186013.5,13832.0,indirecta,27425.0,cele_pseudohuerfanas,2
259952,cele,no informativa,G5EF15,2,0.0,14006.5,0.5107201458523245,186583.0,14006.5,indirecta,27425.0,cele_pseudohuerfanas,1
