drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets,archivo,grupo
183549,sp9,no informativa,236580,8,0.0,14236.5,0.5191066545123063,187201.0,14236.5,indirecta,27425.0,sp9_pseudohuerfanas,3
188754,sp9,informativa,185018,2,8.719094618168197e-05,10.5,0.0003828623518687,66.5,10.5,directa,27425.0,sp9_pseudohuerfanas,1
197111,sp9,no informativa,236580,11,0.0,13782.5,0.5025524156791249,185455.0,13782.5,indirecta,27425.0,sp9_pseudohuerfanas,0
209743,sp9,no informativa,240045,2,0.0,13992.5,0.5102096627164996,186503.5,13992.5,indirecta,27425.0,sp9_pseudohuerfanas,2
216864,sp9,no informativa,236580,2,0.0,13788.0,0.5027529626253419,186190.0,13788.0,indirecta,27425.0,sp9_pseudohuerfanas,0
220633,sp9,no informativa,236580,4,0.0,13808.0,0.503482224247949,186523.0,13808.0,indirecta,27425.0,sp9_pseudohuerfanas,3
220728,sp9,no informativa,185018,23,0.0,13915.0,0.507383773928897,188114.0,13915.0,indirecta,27425.0,sp9_pseudohuerfanas,2
222929,sp9,no informativa,236580,5,0.0,13989.5,0.5101002734731085,186300.5,13989.5,indirecta,27425.0,sp9_pseudohuerfanas,1
224683,sp9,no informativa,236580,2,0.0,13755.5,0.5015679124886053,184903.5,13755.5,indirecta,27425.0,sp9_pseudohuerfanas,1
227887,sp9,no informativa,185018,2,0.0,13787.5,0.5027347310847766,186194.0,13787.5,indirecta,27425.0,sp9_pseudohuerfanas,1
236517,sp9,no informativa,185018,2,0.0,13801.5,0.5032452142206016,186520.5,13801.5,indirecta,27425.0,sp9_pseudohuerfanas,2
236721,sp9,no informativa,236580,3,0.0,13830.0,0.5042844120328168,186829.0,13830.0,indirecta,27425.0,sp9_pseudohuerfanas,0
239856,sp9,no informativa,236580,4,0.0,13859.0,0.5053418413855971,187776.0,13859.0,indirecta,27425.0,sp9_pseudohuerfanas,3
240545,sp9,no informativa,236580,3,0.0,14021.5,0.5112670920692799,186944.0,14021.5,indirecta,27425.0,sp9_pseudohuerfanas,3
248160,sp9,no informativa,185018,2,0.0,13828.5,0.5042297174111212,186798.5,13828.5,indirecta,27425.0,sp9_pseudohuerfanas,0
248320,sp9,no informativa,185018,3,0.0,14053.5,0.5124339106654512,188106.0,14053.5,indirecta,27425.0,sp9_pseudohuerfanas,1
248855,sp9,no informativa,236580,3,0.0,13802.5,0.503281677301732,186565.5,13802.5,indirecta,27425.0,sp9_pseudohuerfanas,3
250436,sp9,no informativa,185018,3,0.0,13734.0,0.5007839562443026,184620.0,13734.0,indirecta,27425.0,sp9_pseudohuerfanas,0
252389,sp9,no informativa,236580,3,0.0,13800.0,0.5031905195989061,185649.5,13800.0,indirecta,27425.0,sp9_pseudohuerfanas,1
259022,sp9,no informativa,236580,4,0.0,13832.0,0.5043573381950774,186013.5,13832.0,indirecta,27425.0,sp9_pseudohuerfanas,2
259952,sp9,no informativa,185018,2,0.0,14006.5,0.5107201458523245,186583.0,14006.5,indirecta,27425.0,sp9_pseudohuerfanas,1
270069,sp9,no informativa,185018,5,0.0,14093.5,0.5138924339106654,187940.0,14093.5,indirecta,27425.0,sp9_pseudohuerfanas,3
270414,sp9,no informativa,185018,2,0.0,13797.0,0.503081130355515,185577.0,13797.0,indirecta,27425.0,sp9_pseudohuerfanas,0
271168,sp9,no informativa,236580,17,0.0,14258.0,0.5198906107566089,189723.5,14258.0,indirecta,27425.0,sp9_pseudohuerfanas,3
278234,sp9,no informativa,185018,5,0.0,14023.5,0.5113400182315405,187020.5,14023.5,indirecta,27425.0,sp9_pseudohuerfanas,0
282011,sp9,informativa,185018,4,3.792806158903165e-05,17.5,0.0006381039197812,170.5,17.5,indirecta,27425.0,sp9_pseudohuerfanas,3
284728,sp9,no informativa,185018,5,0.0,13841.0,0.5046855059252506,186282.5,13841.0,indirecta,27425.0,sp9_pseudohuerfanas,0
287107,sp9,no informativa,236580,2,0.0,13729.0,0.5006016408386509,184660.5,13729.0,indirecta,27425.0,sp9_pseudohuerfanas,3
290256,sp9,no informativa,111865,3,0.0,13775.0,0.5022789425706472,185238.5,13775.0,indirecta,27425.0,sp9_pseudohuerfanas,2
291096,sp9,no informativa,240045,2,0.0,13737.5,0.5009115770282588,184620.0,13737.5,indirecta,27425.0,sp9_pseudohuerfanas,1
300886,sp9,no informativa,185018,3,0.0,13741.0,0.5010391978122152,184657.5,13741.0,indirecta,27425.0,sp9_pseudohuerfanas,2
301980,sp9,no informativa,236580,2,0.0,13933.5,0.5080583409298086,184725.0,13933.5,indirecta,27425.0,sp9_pseudohuerfanas,0
304104,sp9,no informativa,236580,5,0.0,13716.5,0.5001458523245215,184373.0,13716.5,indirecta,27425.0,sp9_pseudohuerfanas,3
305272,sp9,no informativa,236580,6,0.0,14291.0,0.5210938924339107,188793.5,14291.0,indirecta,27425.0,sp9_pseudohuerfanas,2
309726,sp9,no informativa,236580,6,0.0,13983.5,0.5098814949863263,185463.0,13983.5,indirecta,27425.0,sp9_pseudohuerfanas,1
311802,sp9,no informativa,236580,2,0.0,13975.5,0.5095897903372835,185326.5,13975.5,indirecta,27425.0,sp9_pseudohuerfanas,3
315179,sp9,no informativa,236580,7,0.0,13839.5,0.5046308113035551,187093.0,13839.5,indirecta,27425.0,sp9_pseudohuerfanas,2
326077,sp9,no informativa,236580,10,0.0,13833.0,0.5043938012762078,186676.0,13833.0,indirecta,27425.0,sp9_pseudohuerfanas,2
326919,sp9,no informativa,236580,3,0.0,14090.5,0.5137830446672744,187017.5,14090.5,indirecta,27425.0,sp9_pseudohuerfanas,3
344791,sp9,no informativa,185018,4,0.0,14005.5,0.5106836827711941,186216.0,14005.5,indirecta,27425.0,sp9_pseudohuerfanas,1
345803,sp9,informativa,240045,9,0.0004685039891657,28.0,0.0010209662716499,308.0,28.0,directa,27425.0,sp9_pseudohuerfanas,2
346537,sp9,no informativa,236580,58,0.0,14764.5,0.538359161349134,194158.0,14764.5,indirecta,27425.0,sp9_pseudohuerfanas,3
348962,sp9,no informativa,185018,2,0.0,13728.5,0.5005834092980856,184662.5,13728.5,indirecta,27425.0,sp9_pseudohuerfanas,3
349342,sp9,no informativa,236580,4,0.0,13963.0,0.509134001823154,184970.5,13963.0,indirecta,27425.0,sp9_pseudohuerfanas,2
359462,sp9,no informativa,240045,2,0.0,13798.0,0.5031175934366454,184723.5,13798.0,indirecta,27425.0,sp9_pseudohuerfanas,1
361577,sp9,no informativa,185018,2,0.0,13977.5,0.5096627164995442,186142.5,13977.5,indirecta,27425.0,sp9_pseudohuerfanas,0
361719,sp9,no informativa,236580,5,0.0,13811.0,0.5035916134913401,185747.5,13811.0,indirecta,27425.0,sp9_pseudohuerfanas,2
365428,sp9,informativa,14701,10,5.203929403318067e-05,72.5,0.0026435733819507,1148.0,72.5,indirecta,27425.0,sp9_pseudohuerfanas,2
366165,sp9,no informativa,185018,4,0.0,13807.5,0.5034639927073837,186522.5,13807.5,indirecta,27425.0,sp9_pseudohuerfanas,2
