l,rho,lambda,lambda_suave
219,140.0,0.0,0.0953219348546658
220,140.0,0.0,0.1019987803464166
221,141.0,1.0,0.1095304328030989
222,141.0,0.0,0.1177806583382933
223,141.0,0.0,0.1265789164553767
224,141.0,0.0,0.1357546666577262
225,142.0,1.0,0.1451373684487186
226,142.0,0.0,0.154556481331731
227,142.0,0.0,0.1638414648101402
228,142.0,0.0,0.1728217783873234
229,142.0,0.0,0.1813268815666574
230,143.0,1.0,0.1891862338515192
231,145.0,2.0,0.1962292947452858
232,145.0,0.0,0.202285523751334
233,145.0,0.0,0.2071843803730411
234,145.0,0.0,0.2107553241137837
235,145.0,0.0,0.2128278144769391
236,145.0,0.0,0.213231310965884
237,145.0,0.0,0.2118533314386782
238,145.0,0.0,0.2088136271721123
239,145.0,0.0,0.2042900077976594
240,145.0,0.0,0.198460282946793
241,145.0,0.0,0.1915022622509863
242,145.0,0.0,0.1835937553417126
243,145.0,0.0,0.174912571850445
244,145.0,0.0,0.1656365214086571
245,145.0,0.0,0.1559434136478219
246,145.0,0.0,0.1460110581994128
247,145.0,0.0,0.1360172646949031
248,145.0,0.0,0.1261398427657661
249,145.0,0.0,0.1165566020434749
250,145.0,0.0,0.107445352159503
251,146.0,1.0,0.0989839027453236
252,146.0,0.0,0.0913152244252531
253,146.0,0.0,0.0844429317949803
254,147.0,1.0,0.0783358004430371
255,147.0,0.0,0.0729626059579555
256,147.0,0.0,0.0682921239282674
257,147.0,0.0,0.0642931299425048
258,147.0,0.0,0.0609343995891996
259,147.0,0.0,0.0581847084568837
260,147.0,0.0,0.056012832134089
261,147.0,0.0,0.0543875462093476
262,147.0,0.0,0.0532776262711913
263,147.0,0.0,0.052651847908152
264,147.0,0.0,0.0524789867087618
265,148.0,1.0,0.0527278182615525
266,148.0,0.0,0.0533671181550561
267,148.0,0.0,0.0543656619778045
268,148.0,0.0,0.0556922253183297
269,148.0,0.0,0.0573155837651635
270,148.0,0.0,0.059204512906838
271,148.0,0.0,0.061327788331885
