ann,nombre
IPR004100,"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"
IPR055190,"ATP synthase A/B type, C-terminal domain"
IPR020003,"ATPase, alpha/beta subunit, nucleotide-binding domain, active site"
IPR036784,"Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain superfamily"
IPR039028,PDK/BCKDK protein kinase
IPR018955,"Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase, N-terminal"
IPR023753,FAD/NAD(P)-binding domain
IPR002659,"Glycosyl transferase, family 31"
IPR036867,R3H domain superfamily
IPR001374,R3H domain
IPR000967,"Zinc finger, NF-X1-type"
IPR034078,Transcription factor NFX1 family
IPR055207,"DNA-directed RNA polymerase III subunit RPC3, winged-helix domain"
IPR036388,Winged helix-like DNA-binding domain superfamily
IPR039748,DNA-directed RNA polymerase III subunit RPC3
IPR026203,Intracellular hyaluronic acid binding protein
IPR056614,"Flagellar attachment zone protein 1, conserved domain"
IPR014782,"Peptidase M1, membrane alanine aminopeptidase"
IPR042097,"Aminopeptidase N-like , N-terminal domain superfamliy"
IPR050344,Peptidase M1 family aminopeptidases
IPR027268,"Peptidase M4/M1, CTD superfamily"
IPR045357,"Aminopeptidase N-like , N-terminal domain"
IPR003511,HORMA domain
IPR036570,HORMA domain superfamily
IPR051294,HORMA Domain-Containing Meiotic Progression
IPR009038,GOLD domain
IPR015720,Transmembrane emp24 domain-containing protein
IPR004971,mRNA (guanine-N(7))-methyltransferase domain
IPR013846,"mRNA capping enzyme, C-terminal domain"
IPR039753,mRNA cap guanine-N7 methyltransferase
IPR051521,tRNA-uridine aminocarboxypropyltransferase 1/YIPF3
IPR005636,DTW
IPR052492,Tubulin--tyrosine ligase
IPR004344,Tubulin-tyrosine ligase/Tubulin polyglutamylase
IPR001313,Pumilio RNA-binding repeat
IPR033133,Pumilio homology domain
IPR039859,Palmitoyltransferase PFA4/ZDHHC16/ZDHHC20/ERF2-like
IPR001594,"Palmitoyltransferase, DHHC domain"
IPR035952,Rhomboid-like superfamily
IPR017937,"Thioredoxin, conserved site"
IPR019474,"Ubiquitin conjugation factor E4, core"
IPR045132,Ubiquitin conjugation factor E4
IPR002347,Short-chain dehydrogenase/reductase SDR
IPR036742,"ATP synthase, F1 complex, epsilon subunit superfamily, mitochondrial"
IPR006721,"ATP synthase, F1 complex, epsilon subunit, mitochondrial"
IPR019347,Axonemal dynein light chain
IPR003409,MORN repeat
IPR050538,Mitogen-activated protein kinase kinase kinase
IPR050505,WD repeat-containing protein 55/POC1
IPR014848,Reduced growth phenotype protein 1
IPR036649,Inorganic pyrophosphatase superfamily
IPR008162,Inorganic pyrophosphatase
IPR056264,"ABCA1-4-like, C-terminal R2 regulatory domain"
IPR013525,"ABC-2 type transporter, transmembrane domain"
IPR003439,"ABC transporter-like, ATP-binding domain"
IPR026082,ABC transporter A
IPR003593,AAA+ ATPase domain
IPR017871,"ABC transporter-like, conserved site"
IPR002777,Prefoldin beta-like
IPR016661,"Prefoldin, subunit 4"
IPR027038,Ran GTPase-activating protein
IPR029149,"Creatinase/Aminopeptidase P/Spt16, N-terminal"
IPR052433,Xaa-Pro dipeptidase-like
IPR007865,"Aminopeptidase P, N-terminal"
IPR000994,Peptidase M24
IPR036005,Creatinase/aminopeptidase-like
IPR006259,Adenylate kinase subfamily
IPR002093,BRCA2 repeat
IPR015187,"BRCA2, OB1"
IPR015525,Breast cancer type 2 susceptibility protein
IPR002524,Cation efflux
IPR027469,Cation efflux transmembrane domain superfamily
IPR045316,Zinc transporter Msc2-like
IPR058533,"Cation efflux protein, transmembrane domain"
IPR057724,"Tectonic-1-3, N-terminal domain"
IPR011677,Tectonic-1-3 domain
IPR040354,Tectonic-1-3
IPR014748,"Enoyl-CoA hydratase, C-terminal"
IPR027986,"T-cell activation inhibitor, mitochondrial"
