AUC01,AUC,YoudenCutOff,N_targets,params,alpha,beta,lambda_,gamma
0.7108109269193799,0.8546718754805807,0.6876377965577323,6564,3 3 4 2,0.6,1.0,,1.0
0.7106498262798103,0.8544845282486335,0.6873691238011497,6564,3 3 4 3,0.6,1.0,,1.2
0.7098577481352601,0.8538852613543642,0.6862700079787667,6564,3 3 1 1,0.6,1.0,0.0,0.8
0.7069445115697109,0.854603305127217,0.688894316621345,6564,4 3 2 1,0.9,1.0,0.5,0.8
0.7060718831053759,0.8556945507375384,0.69168145723761,6564,4 3 3 1,0.9,1.0,1.0,0.8
0.7059242075191039,0.8535768304575397,0.6865359668691211,6564,4 3 4 2,0.9,1.0,,1.0
0.7057631068795344,0.8537273143398882,0.6868643446827218,6564,4 3 4 1,0.9,1.0,,0.8
0.7054140554938003,0.8533846887285899,0.6862944327748197,6564,4 3 4 3,0.9,1.0,,1.2
0.7045951272426552,0.8529364032588107,0.6851817476212962,6564,4 3 1 1,0.9,1.0,0.0,0.8
0.7034674227656684,0.8546741370357706,0.6902349665380294,6564,5 3 3 1,1.2,1.0,1.0,0.8
0.702755894940903,0.8536574322845145,0.6873121326103595,6564,5 3 2 1,1.2,1.0,0.5,0.8
0.7016550405705111,0.8526590008991944,0.6849782076541882,6564,5 3 4 3,1.2,1.0,,1.2
0.7016281904639161,0.8528608673154617,0.6857652288603391,6564,5 3 4 1,1.2,1.0,,0.8
0.7016281904639161,0.852796412992544,0.6853228686651578,6564,5 3 4 2,1.2,1.0,,1.0
0.700138009547898,0.8521036081756126,0.6839632216848766,6564,5 3 1 1,1.2,1.0,0.0,0.8
0.6361193003936225,0.8455358257480772,0.6784486455093655,6564,5 2 3 1,1.2,0.5,1.0,0.8
0.6359044995408631,0.8454329702180321,0.6784215068470845,6564,4 2 3 1,0.9,0.5,1.0,0.8
0.6344008935715475,0.844822169392293,0.6773251048909299,6564,3 2 3 1,0.6,0.5,1.0,0.8
0.6330476481991634,0.8440706546026266,0.6762802663931091,6564,5 2 2 1,1.2,0.5,0.5,0.8
0.6320810443617461,0.843633450753279,0.6753331270795,6564,4 2 2 1,0.9,0.5,0.5,0.8
0.6314086350768966,0.8435618499159607,0.6700166631386404,6564,2 2 3 1,0.3,0.5,1.0,0.8
0.6305613283284734,0.8428976311566316,0.6727142461693778,6564,3 2 2 1,0.6,0.5,0.5,0.8
0.6295302842352284,0.8426634697322499,0.6742530083207139,6564,5 2 4 1,1.2,0.5,,0.8
0.6285636803978112,0.8423388913313685,0.6730236269193819,6564,4 2 4 1,0.9,0.5,,0.8
0.6278387275197483,0.8423849818261426,0.6739137750422006,6564,5 2 4 2,1.2,0.5,,1.0
