params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
2 2 1 1,0.6408590560462271,0.8157029746155537,0.5419028596419513,21714,0.3,0.5,0.0,0.8
1 2 3 1,0.6132636859656786,0.8103557198796911,0.5330144211041903,21714,0.0,0.5,1.0,0.8
1 2 2 1,0.6119723798306317,0.8053287988103925,0.5184002335369406,21714,0.0,0.5,0.5,0.8
1 2 4 1,0.6085892040597074,0.8012295588769686,0.5127251790238276,21714,0.0,0.5,,0.8
1 2 4 2,0.6065544640297837,0.8000199363914381,0.5091668081600944,21714,0.0,0.5,,1.0
1 2 4 3,0.6049700196901715,0.7991896711168489,0.5069445034313045,21714,0.0,0.5,,1.2
1 2 1 1,0.6005134337783024,0.7967063864255393,0.5043394986249301,21714,0.0,0.5,0.0,0.8
5 1 3 1,0.5865966890050008,0.8105941326785047,0.542630651609425,21714,1.2,0.0,1.0,0.8
5 1 2 1,0.5864480430815244,0.8092777335547244,0.540297338195725,21714,1.2,0.0,0.5,0.8
5 1 4 1,0.586397995095379,0.8082534807158087,0.5386702663274985,21714,1.2,0.0,,0.8
5 1 4 3,0.586245195529515,0.8078596752675562,0.5381623156774848,21714,1.2,0.0,,1.2
5 1 4 2,0.5861581733168706,0.8080422273015454,0.5384774080593115,21714,1.2,0.0,,1.0
5 1 1 1,0.5859342170904326,0.8073809550036494,0.5375620103638319,21714,1.2,0.0,0.0,0.8
4 1 2 1,0.5853265596368806,0.8081284515004301,0.540903316252773,21714,0.9,0.0,0.5,0.8
4 1 4 1,0.5851544789992386,0.8069890029517175,0.5389937477663573,21714,0.9,0.0,,0.8
4 1 3 1,0.5851236458081732,0.8095902521918625,0.5411804402727203,21714,0.9,0.0,1.0,0.8
4 1 4 3,0.5850821075684975,0.8065245733489173,0.5385754354663459,21714,0.9,0.0,,1.2
4 1 4 2,0.5850194624701932,0.8067101193308096,0.5389883151390844,21714,0.9,0.0,,1.0
4 1 1 1,0.5848032687885452,0.8060146079745626,0.5380457543072406,21714,0.9,0.0,0.0,0.8
3 1 2 1,0.5825103900981088,0.8061754294994604,0.5366439563837466,21714,0.6,0.0,0.5,0.8
3 1 4 1,0.5824319475402321,0.804853252581481,0.5355735487238984,21714,0.6,0.0,,0.8
3 1 4 3,0.5823063601398961,0.8042853329298584,0.5350900448966125,21714,0.6,0.0,,1.2
3 1 4 2,0.5822947844152095,0.804550544939038,0.5352883357920724,21714,0.6,0.0,,1.0
3 1 3 1,0.582057201678258,0.8078293305925679,0.5382111492939101,21714,0.6,0.0,1.0,0.8
3 1 1 1,0.5817435008743963,0.8035627297217206,0.5343647891556835,21714,0.6,0.0,0.0,0.8
2 1 2 1,0.5789947744182694,0.8027241879445319,0.5372952113371547,21714,0.3,0.0,0.5,0.8
2 1 3 1,0.5788880734736577,0.8050934549957705,0.5397369972092203,21714,0.3,0.0,1.0,0.8
2 1 4 1,0.5782765347477108,0.8010899876289171,0.5367681864626552,21714,0.3,0.0,,0.8
2 1 4 3,0.5782273719640415,0.8002773071084905,0.5372272434672132,21714,0.3,0.0,,1.2
2 1 4 2,0.5782258058365839,0.8006412068440418,0.5375722152990408,21714,0.3,0.0,,1.0
2 1 1 1,0.5779402258993139,0.7993149554556078,0.5361597322080933,21714,0.3,0.0,0.0,0.8
1 1 3 1,0.5190312267838627,0.7580434961651805,0.4438380245070319,21714,0.0,0.0,1.0,0.8
1 1 4 1,0.5173775105840256,0.7477527944789379,0.43051716240491067,21714,0.0,0.0,,0.8
1 1 4 2,0.5173703826613185,0.7463994549904278,0.43036504884127025,21714,0.0,0.0,,1.0
1 1 2 1,0.5173266318694028,0.7518146438299028,0.43662892811592613,21714,0.0,0.0,0.5,0.8
1 1 4 3,0.5171304246978137,0.7458404233871541,0.43017490688671955,21714,0.0,0.0,,1.2
1 1 1 1,0.5163954342727084,0.743028802409133,0.42160655814758563,21714,0.0,0.0,0.0,0.8
