target_id,score,druggable,de_la_especie
229297,1.0,0,False
306840,1.0,0,False
278678,1.0,0,False
368268,1.0,0,False
209239,1.0,0,False
124206,1.0,0,False
101484,1.0,0,False
43497,1.0,0,False
21095,1.0,0,False
7079,1.0,0,False
279176,1.0,0,False
272169,1.0,0,False
6990,1.0,0,False
256165,1.0,0,False
166962,1.0,0,False
229317,1.0,0,False
293545,1.0,0,False
276798,1.0,0,False
21605,1.0,0,False
223645,1.0,0,False
197485,1.0,0,False
80666,1.0,0,False
243371,1.0,0,False
165817,1.0,0,False
25439,1.0,0,False
274754,1.0,0,False
296737,1.0,0,False
30605,1.0,0,False
41751,1.0,0,False
167033,1.0,0,False
107062,1.0,0,False
113376,1.0,0,False
315790,1.0,0,False
11114,1.0,0,False
321653,1.0,0,False
259780,1.0,0,False
319798,1.0,0,False
181116,1.0,0,False
220143,1.0,0,False
299079,1.0,0,False
329850,1.0,0,False
253416,1.0,0,False
22325,1.0,0,False
61208,1.0,0,False
275066,1.0,0,False
287966,1.0,0,False
399302,1.0,0,False
122153,1.0,0,False
152192,1.0,0,False
209227,1.0,0,False
57386,1.0,0,False
189012,1.0,0,False
25512,1.0,0,False
249434,1.0,0,False
263015,1.0,0,False
387565,1.0,0,False
137914,1.0,0,False
62891,1.0,0,False
186309,1.0,0,False
240321,1.0,0,False
249086,1.0,0,False
110698,1.0,0,False
332984,1.0,0,False
196383,1.0,0,False
388649,1.0,0,False
201401,1.0,0,False
67356,1.0,0,False
306130,1.0,0,False
277084,1.0,0,False
107729,1.0,0,False
96542,1.0,0,False
78692,1.0,0,False
163166,1.0,0,False
72195,1.0,0,False
266222,1.0,0,False
180853,1.0,0,False
347515,1.0,0,False
66684,1.0,0,False
46765,1.0,0,False
139848,1.0,0,False
384241,1.0,0,False
26600,1.0,0,False
110364,1.0,0,False
139810,1.0,0,False
388097,1.0,0,False
110445,1.0,0,False
315730,1.0,0,False
8874,1.0,0,False
347679,1.0,0,False
301876,1.0,0,False
120738,1.0,0,False
143693,1.0,0,False
276473,1.0,0,False
283192,1.0,0,False
51238,1.0,0,False
261419,1.0,0,False
356519,1.0,0,False
395571,1.0,0,False
160564,1.0,0,False
219461,1.0,0,False
317630,1.0,0,False
58376,1.0,0,False
77509,1.0,0,False
277101,1.0,0,False
230189,1.0,0,False
362116,1.0,0,False
45190,1.0,0,False
169805,1.0,0,False
260220,1.0,0,False
393564,1.0,0,False
271387,1.0,0,False
267986,1.0,0,False
285711,1.0,0,False
157118,1.0,0,False
63098,1.0,0,False
40334,1.0,0,False
118394,1.0,0,False
219866,1.0,0,False
23758,1.0,0,False
266270,1.0,0,False
56590,1.0,0,False
117140,1.0,0,False
106193,1.0,0,False
67093,1.0,0,False
248167,1.0,0,False
241900,1.0,0,False
221,1.0,0,False
36820,1.0,0,False
247042,1.0,0,False
380795,1.0,0,False
226320,0.9958800409714819,0,False
171681,0.995199805068226,0,False
69676,0.9868137388686036,0,False
318655,0.9868137388686036,0,False
387023,0.9866071428571428,0,False
175183,0.9866071428571428,0,False
258908,0.9866071428571428,0,False
123707,0.9861693861693862,0,False
192573,0.9861693861693862,0,False
393303,0.9861693861693862,0,False
151936,0.9861693861693862,0,False
315684,0.9861693861693862,0,False
135679,0.9861693861693862,0,False
389988,0.9861693861693862,0,False
126866,0.9861693861693862,0,False
373713,0.9861693861693862,0,False
300648,0.9861693861693862,0,False
